,Scout Name,Match Number,Dead,No Show,Team Number,Cross Auto,Switch Auto,Scale Auto,Auto Other,Tele-Switch,Tele-Scale,Tele-Portal,Tele-Switch-#,Tele-Scale-#,Tele-Portal-#,Climb-True,Tech-fouls,Attempted,Penalties,Climb-No
H3_ (6).pdf,Barb,12,FALSE,FALSE,4471,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,0,10,1,FALSE,,FALSE,,TRUE
H3_ (7).pdf,Barb,13,FALSE,FALSE,21,TRUE,FALSE,FALSE,Tried switch,TRUE,FALSE,FALSE,3,0,0,TRUE,,FALSE,,FALSE
H3_ (8).pdf,Barb,14,TRUE,FALSE,7194,TRUE,FALSE,FALSE,"Died trice during match, defense only",FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,TRUE
H3_ (9).pdf,BRb,15,FALSE,FALSE,3653,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,1,0,6,FALSE,,FALSE,,TRUE
H4_ (1).pdf,Claire,1,FALSE,FALSE,744,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,0,5,0,FALSE,,FALSE,,TRUE
H4_ (10).pdf,Claire,14,FALSE,FALSE,1477,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,0,4,0,FALSE,,FALSE,,TRUE
H4_ (11).pdf,Claire,13,FALSE,FALSE,58721157885,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,0,0,3,FALSE,,FALSE,,TRUE
H4_ (12).pdf,Azalia,15,FALSE,FALSE,1902,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,3,0,0,FALSE,,FALSE,,TRUE
H4_ (13).pdf,Azalia,16,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,FALSE
H4_ (14).pdf,Azalia,16,FALSE,FALSE,6468,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,0,0,1,FALSE,,FALSE,,TRUE
H4_ (15).pdf,Claire,17,FALSE,FALSE,2383,FALSE,TRUE,FALSE,They fell over,FALSE,TRUE,FALSE,0,3,0,FALSE,,FALSE,,TRUE
H4_ (16).pdf,Robbie,5,FALSE,FALSE,7107,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,1,0,1,FALSE,,FALSE,,TRUE
H4_ (17).pdf,Claire,18,FALSE,FALSE,179,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,FALSE
H4_ (18).pdf,Gabby b,24,FALSE,FALSE,7152,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,TRUE
H4_ (19).pdf,Gabby b,25,TRUE,FALSE,41187,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,1,0,0,FALSE,,FALSE,,FALSE
H4_ (2).pdf,Claire,2,FALSE,FALSE,4118,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0,TRUE,,FALSE,,FALSE
H4_ (20).pdf,Gb,7026,FALSE,FALSE,26,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,3,3,0,FALSE,,FALSE,,TRUE
H4_ (21).pdf,Claire,4,FALSE,FALSE,7152,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,TRUE
H4_ (22).pdf,VT,27,FALSE,FALSE,180,FALSE,TRUE,FALSE,,TRUE,TRUE,TRUE,3,1,4,FALSE,,FALSE,,TRUE
H4_ (23).pdf,VT,28,FALSE,FALSE,1876,FALSE,FALSE,FALSE,,TRUE,TRUE,FALSE,1,4,0,TRUE,,FALSE,,FALSE
H4_ (24).pdf,VT,29,FALSE,FALSE,348,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,0,4,0,FALSE,,FALSE,,TRUE
H4_ (25).pdf,VT,30,FALSE,FALSE,5472,FALSE,FALSE,TRUE,,FALSE,TRUE,TRUE,0,3,8,FALSE,,FALSE,,TRUE
H4_ (26).pdf,VT,31,FALSE,FALSE,6685,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,1,0,0,FALSE,,TRUE,,FALSE
H4_ (27).pdf,VT,32,FALSE,FALSE,7216,FALSE,FALSE,FALSE,Rookie team,TRUE,FALSE,FALSE,3,0,0,FALSE,,FALSE,,TRUE
H4_ (28).pdf,VT,33,FALSE,FALSE,4533,FALSE,TRUE,FALSE,,TRUE,FALSE,TRUE,1,0,10,TRUE,,FALSE,,FALSE
H4_ (29).pdf,VT,34,FALSE,FALSE,2797,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,3,1,0,FALSE,,FALSE,,TRUE
H4_ (3).pdf,Claire,3,FALSE,FALSE,1523,TRUE,TRUE,FALSE,,TRUE,FALSE,FALSE,5,0,0,FALSE,,TRUE,,FALSE
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
H4_ (32).pdf,Claire,45,TRUE,FALSE,86,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,TRUE
,,,,,,,,,,,,,,,,,,,,
H4_ (34).pdf,Claire,47,FALSE,FALSE,1902,FALSE,TRUE,FALSE,,TRUE,FALSE,TRUE,6,0,1,FALSE,,FALSE,,TRUE
H4_ (35).pdf,Azalia,53,FALSE,FALSE,108,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,0,3,4,FALSE,,FALSE,,TRUE
,,,,,,,,,,,,,,,,,,,,
H4_ (37).pdf,Claire,48,FALSE,FALSE,5472,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,0,4,6,FALSE,,FALSE,,TRUE
H4_ (38).pdf,Azalia,52,FALSE,FALSE,7216,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,1,0,0,FALSE,,FALSE,,TRUE
